job_position,technology_skills,knowledge,skills
, Web browser software Map creation software ,,
, ESRI ArcGIS software  ,,
, ESRI ArcIMS,,
, Geographic information system GIS software  ,,
, Trimble Pathfinder Office  (see all 6 examples)Mobile location based services software ,,
, Global positioning system GPS software Object or component oriented development software ,,
, Microsoft Visual C#,,
, Microsoft Visual C++,,
, Practical extraction and reporting language Perl  ,,
, Python  (see all 5 examples)Office suite software ,,
, Microsoft Office Operating system software ,,
, Job control language JCL Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Web platform development software ,,
, Autodesk MapGuide,,
, Hypertext markup language HTML  ,,
, JavaScript  ,,
, Oracle JavaServer Pages JSP Word processing software ,,
, Microsoft Word ,,
Geospatial Information Scientists and Technologists,Analytical or scientific software ,Geography,Reading Comprehension
, ESRI ArcGIS Spatial Analyst,Computers and Electronics,Active Listening
, Landmark GeoGraphix,English Language,Science
, SAS  ,Mathematics,Writing
, The MathWorks MATLAB  (see all 7 examples)Application server software ,Education and Training,Complex Problem Solving
, ESRI ArcSDE Business intelligence and data analysis software ,Customer and Personal Service,Critical Thinking
, Tableau Computer aided design CAD software   ,Design,Speaking
, Autodesk AutoCAD  ,Administration and Management,Active Learning
, Bentley Microstation  ,,Judgment and Decision Making
, Computer aided design and drafting software CADD Data base user interface and query software ,,Mathematics
, National Land Cover Database NLCD,,Operations Analysis
, Soil Survey Geographic SSURGO,,Coordination
, State Soil Geographic STATSGO Database,,Systems Analysis
, Structured query language SQL  (see all 8 examples)Development environment software ,,Instructing
, Adobe Systems Adobe ActionScript,,Learning Strategies
, Formula translation/translator FORTRAN,,Management of Personnel Resources
, List processing language LISP,,Monitoring
, Microsoft Visual Basic  (see all 6 examples)Enterprise application integration software ,,Service Orientation
, Extensible markup language XML Graphics or photo imaging software ,,Social Perceptiveness
, Adobe Systems Adobe Fireworks,,Systems Evaluation
, Adobe Systems Adobe Illustrator  ,,Time Management
, Adobe Systems Adobe Photoshop Internet browser software ,,
, Web browser software Map creation software ,,
, ESRI ArcGIS software  ,,
, Geographic information system GIS software  ,,
, ITT Visual Information Solutions ENVI,,
, Leica Geosystems ERDAS IMAGINE  (see all 8 examples)Mobile location based services software ,,
, Global positioning system GPS software Object or component oriented development software ,,
, C++  ,,
, Practical extraction and reporting language Perl  ,,
, Python  ,,
, R  (see all 6 examples)Object oriented data base management software ,,
, PostgreSQL Office suite software ,,
, Microsoft Office Operating system software ,,
, UNIX Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, Adobe Systems Adobe AfterEffects Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver Web platform development software ,,
, Drupal  ,,
, Ext JS  ,,
, Microsoft ASP.NET  ,,
, PHP: Hypertext Preprocessor  (see all 7 examples)Word processing software ,,
, Microsoft Word ,,
Information Technology Project Managers,Access software ,Administration and Management,Critical Thinking
, Citrix Accounting software ,Customer and Personal Service,Coordination
, Tax software Analytical or scientific software ,English Language,Monitoring
, Minitab  ,Computers and Electronics,Reading Comprehension
, SAS  ,Mathematics,Speaking
, StataCorp Stata  ,Personnel and Human Resources,Time Management
, The MathWorks MATLAB  (see all 5 examples)Application server software ,Communications and Media,Active Listening
, Docker  ,,Writing
, GitHub  ,,Management of Personnel Resources
, Oracle WebLogic Server  ,,Systems Analysis
